City,Latitude,Longitude,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Datetime
moree,-29.47,149.85,71.6,46,50,9.37,AU,1603191457
bonavista,48.65,-53.11,48.0,85,66,1.01,CA,1603191215
ishigaki,24.34,124.16,80.6,88,75,23.04,JP,1603191457
labuhan,-6.88,112.21,82.67,77,12,10.96,ID,1603191458
harkany,45.85,18.24,55.4,58,0,8.05,HU,1603191458
sula,15.46,120.4,77.0,100,90,4.7,PH,1603191458
saint-augustin,51.23,-58.65,43.95,81,100,3.67,CA,1603191214
edwardsville,38.81,-89.95,45.0,100,90,8.1,US,1603191459
kill,52.18,-7.33,57.2,87,75,33.33,IE,1603191459
aguimes,27.91,-15.45,84.2,42,20,17.22,ES,1603191459
bafra,41.57,35.91,59.0,93,75,3.36,TR,1603191460
plettenberg bay,51.22,7.88,55.0,76,100,8.01,DE,1603191460
kaeo,-35.1,173.78,57.0,88,62,1.99,NZ,1603191249
guben,51.95,14.71,53.01,73,99,7.0,DE,1603191460
arman,59.7,150.17,29.46,85,64,6.82,RU,1603191226
kalat,29.02,66.59,67.55,16,0,10.49,PK,1603191461
port hardy,-7.03,29.76,84.04,42,53,5.26,CD,1603191293
zhoucheng,35.91,116.31,62.31,43,99,8.5,CN,1603191461
puro,12.48,123.38,81.97,78,100,15.88,PH,1603191260
ostrovnoy,68.05,39.51,37.11,79,100,13.53,RU,1603191269
pacific grove,38.48,-90.74,44.01,94,99,5.14,US,1603191278
abrau-dyurso,44.69,37.59,60.8,51,40,11.18,RU,1603191462
nome,64.5,-165.41,32.0,86,1,6.93,US,1603191462
coahuayana,18.73,-103.68,76.62,87,62,3.2,MX,1603191462
tabory,58.52,64.55,38.66,94,100,4.85,RU,1603191463
brae,60.4,-1.35,48.2,87,75,29.97,GB,1603191388
usumatlan,14.95,-89.78,70.97,77,55,2.21,GT,1603191463
asyut,27.18,31.18,91.4,27,0,5.82,EG,1603191198
bud,39.45,-86.18,44.01,100,90,5.82,US,1603191464
bulaevo,54.91,70.44,54.01,48,94,8.61,KZ,1603191464
vostok,46.49,135.88,32.99,89,0,4.92,RU,1603191311
pringsewu,-5.36,104.97,76.44,91,100,4.97,ID,1603191272
beira,-19.84,34.84,87.12,50,0,12.46,MZ,1603191464
smithers,54.78,-127.17,31.3,95,21,2.19,CA,1603191303
ciales,18.34,-66.47,75.0,84,36,2.37,PR,1603191465
sonoita,31.85,-112.83,69.01,30,0,1.59,MX,1603191465
cherskiy,68.75,161.3,22.35,97,100,2.64,RU,1603191272
daugai,54.37,24.33,46.99,70,100,4.7,LT,1603191465
balsas,-7.53,-46.04,87.96,28,45,11.41,BR,1603191466
linxi,39.7,118.43,63.14,45,100,10.0,CN,1603191466
gorele,41.03,39.0,64.4,88,75,2.24,TR,1603191466
bereda,43.27,-7.54,66.0,78,100,7.0,ES,1603191466
bintulu,3.17,113.03,87.8,66,20,5.82,MY,1603191466
salvador,13.83,-88.92,75.2,94,20,2.24,SV,1603191461
birjand,32.87,59.22,77.0,3,0,9.17,IR,1603191467
surt,31.21,16.59,74.97,47,50,10.13,LY,1603191467
ilmajoki,62.73,22.57,37.99,77,90,2.37,FI,1603191467
rio gallegos,38.3,21.78,71.6,49,20,11.41,GR,1603191239
abha,18.22,42.51,73.4,8,0,12.75,SA,1603191468
stawell,-37.05,142.77,50.36,94,100,7.34,AU,1603191468
saint-philippe,-21.36,55.77,82.4,58,20,18.34,RE,1603191251
vao,-22.67,167.48,73.58,78,65,17.98,NC,1603191469
alihe,50.57,123.72,37.49,82,100,2.71,CN,1603191469
puerto suarez,36.59,-6.23,75.0,68,100,17.22,ES,1603191223
ajaccio,42.0,8.92,69.8,49,23,4.7,FR,1603191320
north bend,50.33,3.67,57.0,89,100,3.0,FR,1603191470
fukue,32.69,128.84,66.2,59,0,9.17,JP,1603191223
serrana,-21.21,-47.6,68.0,94,75,4.7,BR,1603191470
manica,49.0,-1.17,60.8,77,100,14.99,FR,1603191471
akureyri,65.68,-18.09,26.6,92,89,4.7,IS,1603191471
chimbote,-9.09,-78.58,61.38,88,74,3.71,PE,1603191471
khasan,42.43,130.64,55.2,79,0,7.65,RU,1603191471
port lincoln,-7.03,29.76,84.04,42,53,5.26,CD,1603191241
bemidji,47.47,-94.88,28.4,74,90,5.82,US,1603191264
melaka,2.2,102.24,86.0,66,20,5.82,MY,1603191472
haines junction,59.23,-135.44,35.6,80,90,9.17,US,1603191472
ganzhou,28.82,115.43,62.98,73,50,6.73,CN,1603191472
launceston,-41.45,147.17,50.0,87,40,13.87,AU,1603191472
robertsport,6.75,-11.37,81.66,75,70,9.28,LR,1603191473
high level,33.61,-95.75,63.0,91,89,1.61,US,1603191319
charyshskoye,51.4,83.56,43.54,59,93,4.21,RU,1603191473
port blair,-7.03,29.76,84.04,42,53,5.26,CD,1603191225
comodoro rivadavia,-13.66,-59.79,72.66,90,90,1.36,BR,1603191173
saint-joseph,-21.37,55.62,82.4,58,20,18.34,RE,1603191474
hohhot,40.81,111.65,57.2,17,20,24.61,CN,1603191474
valley city,45.13,-116.13,46.4,65,90,1.59,US,1603191474
igarka,67.47,86.58,9.39,95,98,3.58,RU,1603191474
iskateley,67.68,53.15,26.64,96,100,2.08,RU,1603191474
cimahi,-6.87,107.54,72.12,90,96,1.25,ID,1603191475
san-pedro,4.75,-6.64,81.01,72,94,6.8,CI,1603191475
maniitsoq,65.42,-52.9,38.34,96,100,28.61,GL,1603191316
east greenwich,65.0,-15.0,33.8,88,90,4.7,IS,1603191475
rzhaksa,52.13,42.03,48.47,50,9,16.91,RU,1603191475
goderich,43.75,-81.72,46.99,77,100,10.89,CA,1603191110
khani,41.96,42.96,68.0,68,75,8.05,GE,1603191476
balclutha,-46.23,169.75,45.23,67,97,1.23,NZ,1603191476
zhangye,38.93,100.45,51.8,37,0,4.16,CN,1603191477
geraldton,-28.77,114.6,68.0,68,90,17.22,AU,1603191355
sao domingos,20.51,76.21,83.64,64,6,6.87,IN,1603191379
khandyga,62.67,135.6,16.16,93,100,5.03,RU,1603191477
sola,-13.88,167.55,80.91,79,100,18.34,VU,1603191319
okha,53.57,142.95,34.7,85,18,11.63,RU,1603191302
van,38.49,43.38,66.2,37,40,9.17,TR,1603191478
amahai,-3.33,128.92,86.0,79,76,4.25,ID,1603191478
vredendal,-31.67,18.5,73.99,33,57,14.52,ZA,1603191478
okato,-39.2,173.88,48.0,88,98,3.38,NZ,1603191478
ust-nera,64.57,143.2,5.27,83,42,4.79,RU,1603191293
sept-iles,50.2,-66.38,41.0,97,100,1.99,CA,1603191463
puerto escondido,36.59,-6.23,75.0,68,100,17.22,ES,1603191324
rongcheng,30.63,117.85,62.74,74,82,3.11,CN,1603191479
vestmannaeyjar,63.44,-20.27,33.8,100,0,5.82,IS,1603191245
yar-sale,66.83,70.83,21.94,98,98,3.02,RU,1603190993
sabzevar,36.21,57.68,75.2,11,0,11.41,IR,1603191480
gigmoto,13.78,124.39,80.76,81,100,15.17,PH,1603191211
bonnyville,54.27,-110.73,20.44,98,94,2.01,CA,1603191480
swan hill,18.22,121.38,77.36,92,100,9.6,PH,1603191481
dubbo,-32.25,148.62,60.8,59,5,8.05,AU,1603191481
college,64.86,-147.8,18.0,85,90,0.92,US,1603191258
kerema,-7.96,145.78,79.25,89,100,6.85,PG,1603191482
boa vista,4.43,8.97,84.09,70,45,5.61,CM,1603191482
buraydah,26.33,43.98,87.8,18,0,11.41,SA,1603191294
olafsvik,64.89,-23.71,36.93,77,66,3.74,IS,1603191257
yongan,39.7,113.69,52.48,41,92,10.49,CN,1603191483
havelock,34.88,-76.9,64.99,93,90,5.82,US,1603191066
contamana,-7.33,-75.02,72.93,72,93,1.16,PE,1603191485
viedma,-40.81,-63.0,50.0,64,15,5.35,AR,1603191335
olinda,-8.01,-34.86,82.4,65,20,11.41,BR,1603191262
kushima,31.46,131.23,69.8,52,20,14.99,JP,1603191485
alta floresta,69.97,23.27,33.8,85,75,3.36,NO,1603191486
collie,-33.37,116.15,64.99,48,23,5.21,AU,1603191486
calabozo,8.92,-67.43,74.34,96,77,3.33,VE,1603191486
yulara,-25.24,130.99,87.8,33,2,3.36,AU,1603191246
jalalabad,34.43,70.45,70.0,65,0,4.14,AF,1603191487
oranjemund,-28.55,16.43,65.3,56,0,23.55,NA,1603191234
anadyr,64.75,177.48,41.0,86,40,17.9,RU,1603191487
achinsk,56.27,90.5,33.93,95,100,12.12,RU,1603191487
zhigansk,66.77,123.37,18.19,96,98,12.64,RU,1603191217
taksimo,56.34,114.88,21.87,82,76,2.26,RU,1603191488
shaunavon,49.65,-108.42,25.16,97,98,16.71,CA,1603191488
gidam,18.98,81.4,81.48,86,100,3.89,IN,1603191488
pochutla,15.74,-96.47,75.0,87,99,3.91,MX,1603191489
lima,-12.04,-77.03,60.8,87,90,4.7,PE,1603191406
pamekasan,-7.16,113.47,83.17,71,20,10.2,ID,1603191489
agua verde,45.74,8.32,55.0,88,98,1.88,IT,1603191489
chicama,-7.84,-79.15,60.49,88,25,2.75,PE,1603191348
bubaque,11.28,-15.83,82.06,86,72,4.65,GW,1603191323
kupang,-10.17,123.58,82.4,74,20,6.93,ID,1603191490
galle,6.04,80.22,81.9,76,81,13.85,LK,1603191490
alice springs,27.75,-98.07,75.2,94,40,4.7,US,1603191271
yingkou,40.66,122.23,62.06,61,81,15.43,CN,1603191491
marquette,46.53,-87.63,30.99,62,1,4.0,US,1603191491
pilar,-9.6,-35.96,77.0,83,20,4.7,BR,1603191491
kulhudhuffushi,6.62,73.07,82.42,78,91,14.47,MV,1603191492
calbuco,-41.77,-73.13,33.8,100,40,2.24,CL,1603191492
vilhena,-12.74,-60.15,73.36,83,100,1.83,BR,1603191492
lata,40.16,-8.33,63.0,94,100,1.99,PT,1603191238
kaspiysk,42.88,47.64,62.6,59,45,17.9,RU,1603191387
iacu,-12.77,-40.21,79.57,64,100,5.53,BR,1603191493
sol-iletsk,51.16,54.99,44.65,76,100,13.96,RU,1603191493
